vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.9519,0.176,0.042,0.782,False,Unknown,Unknown,701,0
-0.2124,0.05,0.054,0.896,False,Unknown,Unknown,1088,0
0.9707,0.118,0.0,0.882,False,Unknown,Unknown,973,0
-0.9454,0.028,0.104,0.868,True,Family Leisure,Economy Class,1069,0
-0.9539,0.04,0.088,0.872,True,Couple Leisure,Economy Class,2008,0
-0.5699,0.045,0.055,0.899,True,Family Leisure,Economy Class,727,1
-0.742,0.059,0.137,0.804,True,Couple Leisure,Premium Economy,373,0
-0.986,0.017,0.288,0.695,False,Couple Leisure,Economy Class,588,0
-0.6395,0.052,0.119,0.829,False,Couple Leisure,Business Class,293,0
-0.9661,0.041,0.083,0.876,False,Couple Leisure,Economy Class,2389,0
0.8949,0.21,0.078,0.711,True,Couple Leisure,Economy Class,405,1
0.9734,0.261,0.0,0.739,True,Business,Business Class,449,1
-0.8885,0.034,0.193,0.773,True,Business,Economy Class,318,0
-0.8544,0.041,0.173,0.787,False,Business,Business Class,271,0
0.9638,0.169,0.0,0.831,True,Couple Leisure,Economy Class,622,1
0.34,0.065,0.049,0.886,True,Solo Leisure,Economy Class,427,0
-0.7684,0.0,0.111,0.889,True,Couple Leisure,Economy Class,407,0
0.987,0.146,0.0,0.854,True,Couple Leisure,Economy Class,1071,1
0.9287,0.132,0.022,0.846,True,Couple Leisure,Business Class,674,1
-0.2575,0.066,0.085,0.848,True,Family Leisure,Economy Class,526,0
-0.8625,0.009,0.076,0.915,False,Business,Economy Class,706,0
0.7906,0.156,0.093,0.752,True,Couple Leisure,Economy Class,440,1
0.9818,0.423,0.0,0.577,True,Solo Leisure,Economy Class,265,1
0.9215,0.113,0.013,0.874,True,Solo Leisure,Economy Class,580,1
0.9736,0.144,0.062,0.794,True,Solo Leisure,Economy Class,954,0
-0.3182,0.04,0.059,0.901,True,Solo Leisure,Economy Class,1677,0
0.2707,0.1,0.098,0.802,True,Solo Leisure,Economy Class,206,0
0.9796,0.324,0.0,0.676,True,Couple Leisure,Business Class,323,1
0.9606,0.338,0.048,0.614,True,Family Leisure,Business Class,261,1
-0.5423,0.027,0.131,0.843,True,Business,Economy Class,353,0
-0.7089,0.0,0.102,0.898,True,Family Leisure,Economy Class,261,0
0.9204,0.223,0.04,0.737,True,Family Leisure,Economy Class,278,0
-0.4854,0.014,0.046,0.941,True,Couple Leisure,Economy Class,987,0
0.5693,0.048,0.021,0.931,True,Family Leisure,Economy Class,714,0
-0.7705,0.085,0.13,0.785,False,Solo Leisure,Economy Class,731,0
0.9379,0.146,0.046,0.808,True,Family Leisure,Economy Class,683,0
0.0,0.0,0.0,1.0,True,Solo Leisure,Economy Class,198,0
-0.9193,0.0,0.36,0.64,True,Solo Leisure,Economy Class,161,0
0.7252,0.062,0.012,0.926,True,Family Leisure,Economy Class,910,0
0.9562,0.303,0.0,0.697,True,Solo Leisure,Economy Class,287,1
