Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Seat Comfort_missing,Cabin Staff Service_missing,Food & Beverages_missing,Ground Service_missing,Value For Money_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
,,,,1.0,1,1,1,1,0,False,Unknown,Economy Class,854,0
,,,,1.0,1,1,1,1,0,False,Unknown,Economy Class,1041,1
,,,,4.0,1,1,1,1,0,False,Unknown,Economy Class,233,1
,,,,4.0,1,1,1,1,0,False,Unknown,Economy Class,634,1
,,,,,1,1,1,1,1,False,Unknown,Unknown,566,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,380,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,402,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,535,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,266,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,430,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,688,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,368,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,564,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,574,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,497,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,657,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,339,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,525,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,391,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,311,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,776,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,212,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,701,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,1088,0
,,,,,1,1,1,1,1,False,Unknown,Unknown,973,0
2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,1069,0
3.0,1.0,3.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,2008,0
2.0,3.0,3.0,2.0,2.0,0,0,0,0,0,True,Family Leisure,Economy Class,727,1
3.0,2.0,,2.0,2.0,0,0,1,0,0,True,Couple Leisure,Premium Economy,373,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,588,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Business Class,293,0
3.0,3.0,1.0,1.0,2.0,0,0,0,0,0,False,Couple Leisure,Economy Class,2389,0
3.0,3.0,,5.0,5.0,0,0,1,0,0,True,Couple Leisure,Economy Class,405,1
3.0,4.0,4.0,3.0,4.0,0,0,0,0,0,True,Business,Business Class,449,1
2.0,4.0,3.0,1.0,2.0,0,0,0,0,0,True,Business,Economy Class,318,0
5.0,5.0,5.0,1.0,1.0,0,0,0,0,0,False,Business,Business Class,271,0
4.0,3.0,2.0,4.0,5.0,0,0,0,0,0,True,Couple Leisure,Economy Class,622,1
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Solo Leisure,Economy Class,427,0
1.0,2.0,1.0,1.0,3.0,0,0,0,0,0,True,Couple Leisure,Economy Class,407,0
5.0,5.0,5.0,4.0,5.0,0,0,0,0,0,True,Couple Leisure,Economy Class,1071,1
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Couple Leisure,Business Class,674,1
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,526,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Business,Economy Class,706,0
4.0,5.0,3.0,5.0,5.0,0,0,0,0,0,True,Couple Leisure,Economy Class,440,1
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,265,1
4.0,5.0,5.0,4.0,4.0,0,0,0,0,0,True,Solo Leisure,Economy Class,580,1
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,954,0
3.0,3.0,2.0,1.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1677,0
4.0,5.0,3.0,1.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,206,0
4.0,5.0,5.0,4.0,5.0,0,0,0,0,0,True,Couple Leisure,Business Class,323,1
2.0,4.0,3.0,5.0,5.0,0,0,0,0,0,True,Family Leisure,Business Class,261,1
3.0,2.0,,1.0,1.0,0,0,1,0,0,True,Business,Economy Class,353,0
,,,,1.0,1,1,1,1,0,True,Family Leisure,Economy Class,261,0
1.0,5.0,2.0,5.0,3.0,0,0,0,0,0,True,Family Leisure,Economy Class,278,0
,,,,1.0,1,1,1,1,0,True,Couple Leisure,Economy Class,987,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,714,0
1.0,2.0,1.0,2.0,2.0,0,0,0,0,0,False,Solo Leisure,Economy Class,731,0
2.0,3.0,3.0,3.0,2.0,0,0,0,0,0,True,Family Leisure,Economy Class,683,0
3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,198,0
2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,161,0
4.0,5.0,4.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,910,0
5.0,5.0,3.0,5.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,287,1
2.0,1.0,2.0,3.0,3.0,0,0,0,0,0,True,Family Leisure,Economy Class,1142,0
2.0,4.0,3.0,2.0,3.0,0,0,0,0,0,True,Business,Economy Class,644,0
4.0,5.0,4.0,5.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,587,1
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,351,0
3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,True,Business,Economy Class,1259,0
2.0,2.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,644,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,1176,0
4.0,5.0,3.0,1.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,427,0
2.0,5.0,2.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,602,0
5.0,5.0,4.0,4.0,3.0,0,0,0,0,0,True,Family Leisure,Economy Class,1044,1
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,185,1
3.0,3.0,1.0,4.0,2.0,0,0,0,0,0,True,Business,Economy Class,189,0
3.0,1.0,2.0,2.0,3.0,0,0,0,0,0,True,Couple Leisure,Economy Class,1084,0
2.0,4.0,4.0,4.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,663,1
2.0,3.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,541,0
2.0,3.0,3.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,420,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,301,1
3.0,4.0,3.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,734,0
4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Business,Economy Class,448,1
2.0,2.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,165,0
3.0,3.0,1.0,1.0,1.0,0,0,0,0,0,True,Business,Economy Class,337,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Business,Economy Class,265,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,243,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,797,1
3.0,3.0,1.0,3.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,640,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Solo Leisure,Premium Economy,341,0
2.0,2.0,,1.0,1.0,0,0,1,0,0,True,Solo Leisure,Economy Class,850,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,390,1
3.0,3.0,3.0,1.0,1.0,0,0,0,0,0,False,Business,Economy Class,393,0
4.0,5.0,3.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Business Class,1464,1
2.0,3.0,1.0,1.0,1.0,0,0,0,0,0,False,Solo Leisure,Economy Class,773,0
,,,,5.0,1,1,1,1,0,False,Solo Leisure,Economy Class,685,1
4.0,1.0,,4.0,3.0,0,0,1,0,0,True,Couple Leisure,Premium Economy,760,0
,,,,1.0,1,1,1,1,0,True,Couple Leisure,Economy Class,665,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,336,1
4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,754,1
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,832,0
,,,,1.0,1,1,1,1,0,True,Couple Leisure,Economy Class,694,0
1.0,5.0,3.0,5.0,1.0,0,0,0,0,0,True,Business,Business Class,201,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,667,0
1.0,3.0,2.0,3.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,2154,0
4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,1008,1
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Business,Economy Class,1449,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Business,Economy Class,715,1
4.0,5.0,4.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,458,1
2.0,4.0,2.0,5.0,2.0,0,0,0,0,0,False,Family Leisure,Economy Class,756,1
4.0,2.0,1.0,3.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,459,1
2.0,4.0,2.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,505,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,215,1
4.0,4.0,3.0,1.0,1.0,0,0,0,0,0,True,Business,Economy Class,455,0
4.0,5.0,2.0,4.0,2.0,0,0,0,0,0,True,Business,Economy Class,844,0
,,,1.0,1.0,1,1,1,0,0,True,Business,Economy Class,394,0
2.0,3.0,1.0,1.0,2.0,0,0,0,0,0,True,Family Leisure,Economy Class,326,0
3.0,4.0,4.0,4.0,5.0,0,0,0,0,0,True,Solo Leisure,Economy Class,462,1
3.0,3.0,3.0,4.0,5.0,0,0,0,0,0,True,Couple Leisure,Economy Class,821,1
,,,,1.0,1,1,1,1,0,True,Couple Leisure,Economy Class,511,0
3.0,4.0,2.0,4.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,532,0
3.0,3.0,,1.0,1.0,0,0,1,0,0,True,Solo Leisure,Economy Class,914,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,333,0
4.0,5.0,4.0,3.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,580,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Business,Economy Class,450,0
3.0,5.0,4.0,5.0,4.0,0,0,0,0,0,False,Solo Leisure,Business Class,495,1
4.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Family Leisure,Economy Class,495,1
4.0,4.0,3.0,1.0,3.0,0,0,0,0,0,False,Couple Leisure,Economy Class,1596,0
1.0,4.0,1.0,3.0,2.0,0,0,0,0,0,True,Couple Leisure,Economy Class,698,0
3.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Couple Leisure,Economy Class,183,1
2.0,2.0,,4.0,1.0,0,0,1,0,0,False,Couple Leisure,Economy Class,505,0
3.0,3.0,,1.0,2.0,0,0,1,0,0,False,Solo Leisure,Economy Class,347,0
2.0,2.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,591,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Family Leisure,Economy Class,961,0
2.0,4.0,4.0,1.0,3.0,0,0,0,0,0,False,Couple Leisure,Economy Class,754,0
3.0,4.0,,1.0,1.0,0,0,1,0,0,False,Family Leisure,Economy Class,437,0
2.0,2.0,1.0,3.0,3.0,0,0,0,0,0,True,Family Leisure,Economy Class,475,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,354,0
1.0,5.0,,1.0,1.0,0,0,1,0,0,False,Couple Leisure,Economy Class,706,0
4.0,5.0,,4.0,5.0,0,0,1,0,0,True,Family Leisure,Economy Class,295,1
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,549,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,440,0
3.0,5.0,5.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,862,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,511,0
5.0,4.0,3.0,5.0,4.0,0,0,0,0,0,True,Couple Leisure,Business Class,1553,1
3.0,4.0,4.0,3.0,2.0,0,0,0,0,0,True,Family Leisure,Economy Class,1880,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Business,Economy Class,1306,0
3.0,3.0,3.0,1.0,1.0,0,0,0,0,0,False,Family Leisure,Economy Class,725,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Business,Business Class,896,0
5.0,2.0,,2.0,3.0,0,0,1,0,0,True,Solo Leisure,Economy Class,1361,1
2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Business,Business Class,897,0
4.0,5.0,1.0,4.0,4.0,0,0,0,0,0,True,Solo Leisure,Economy Class,415,0
4.0,3.0,3.0,1.0,2.0,0,0,0,0,0,True,Family Leisure,Economy Class,2049,0
5.0,5.0,,5.0,5.0,0,0,1,0,0,True,Business,Economy Class,287,1
3.0,4.0,4.0,1.0,3.0,0,0,0,0,0,False,Couple Leisure,Economy Class,2465,0
3.0,4.0,4.0,4.0,4.0,0,0,0,0,0,False,Business,Premium Economy,629,1
3.0,1.0,1.0,1.0,4.0,0,0,0,0,0,True,Couple Leisure,Business Class,1974,0
3.0,1.0,1.0,3.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1718,0
3.0,2.0,2.0,2.0,2.0,0,0,0,0,0,True,Business,Business Class,1379,0
2.0,3.0,2.0,1.0,2.0,0,0,0,0,0,False,Family Leisure,Economy Class,863,0
2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,612,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,622,0
2.0,5.0,2.0,5.0,5.0,0,0,0,0,0,True,Couple Leisure,Economy Class,158,1
4.0,4.0,4.0,1.0,3.0,0,0,0,0,0,False,Family Leisure,Economy Class,1403,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,False,Solo Leisure,Economy Class,505,0
5.0,4.0,3.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,542,1
1.0,5.0,1.0,1.0,1.0,0,0,0,0,0,True,Business,Economy Class,693,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,1497,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,405,0
2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,759,0
4.0,2.0,1.0,3.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1855,0
1.0,3.0,1.0,3.0,4.0,0,0,0,0,0,False,Couple Leisure,Economy Class,489,1
,,,,1.0,1,1,1,1,0,True,Couple Leisure,Economy Class,1352,0
2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Business Class,1543,0
4.0,4.0,4.0,3.0,4.0,0,0,0,0,0,False,Solo Leisure,Economy Class,629,0
2.0,1.0,2.0,1.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,433,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Family Leisure,Economy Class,901,0
1.0,2.0,,1.0,1.0,0,0,1,0,0,False,Solo Leisure,Economy Class,1413,0
2.0,2.0,2.0,1.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1329,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,False,Business,Premium Economy,464,0
1.0,2.0,2.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,1032,0
3.0,3.0,,1.0,1.0,0,0,1,0,0,True,Solo Leisure,Economy Class,516,0
1.0,3.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,180,0
4.0,1.0,1.0,3.0,3.0,0,0,0,0,0,False,Family Leisure,Economy Class,1206,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Solo Leisure,Economy Class,472,0
3.0,2.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,467,0
1.0,1.0,1.0,1.0,2.0,0,0,0,0,0,True,Family Leisure,Economy Class,215,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,1056,0
4.0,4.0,2.0,2.0,3.0,0,0,0,0,0,True,Family Leisure,Economy Class,1672,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,152,0
3.0,1.0,1.0,4.0,2.0,0,0,0,0,0,False,Solo Leisure,Economy Class,338,0
2.0,3.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,749,0
1.0,3.0,1.0,1.0,1.0,0,0,0,0,0,False,Couple Leisure,Economy Class,781,0
,,,,1.0,1,1,1,1,0,False,Business,Business Class,709,0
1.0,3.0,3.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,607,0
3.0,1.0,1.0,2.0,1.0,0,0,0,0,0,False,Solo Leisure,Economy Class,557,0
3.0,3.0,,1.0,1.0,0,0,1,0,0,True,Solo Leisure,Economy Class,469,0
2.0,1.0,1.0,2.0,2.0,0,0,0,0,0,False,Couple Leisure,Economy Class,397,0
1.0,3.0,3.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,642,0
,,,,1.0,1,1,1,1,0,True,Couple Leisure,Economy Class,1309,0
1.0,2.0,1.0,3.0,2.0,0,0,0,0,0,False,Family Leisure,Economy Class,180,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Business,Economy Class,471,0
1.0,5.0,1.0,1.0,1.0,0,0,0,0,0,False,Solo Leisure,Economy Class,396,0
2.0,2.0,1.0,2.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1064,0
1.0,1.0,1.0,1.0,2.0,0,0,0,0,0,True,Couple Leisure,Economy Class,1006,0
,,,,1.0,1,1,1,1,0,True,Couple Leisure,Business Class,1132,0
2.0,2.0,2.0,1.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,1623,0
4.0,4.0,3.0,3.0,4.0,0,0,0,0,0,False,Family Leisure,Business Class,700,1
2.0,2.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,877,0
5.0,4.0,5.0,5.0,5.0,0,0,0,0,0,True,Family Leisure,Economy Class,339,1
1.0,3.0,2.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,1474,0
3.0,5.0,3.0,4.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,425,0
