vader_compound,vader_pos,vader_neg,vader_neu,aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.9677,0.326,0.0,0.674,0.9153,,0.9153,,,0,1,0,1,1,False,Unknown,Economy Class,243,1
0.9553,0.359,0.0,0.641,0.9413,,0.9413,,,0,1,0,1,1,False,Unknown,Economy Class,205,1
0.9783,0.202,0.0,0.798,,0.9776,0.9776,0.9776,,1,0,0,0,1,False,Unknown,Economy Class,629,1
0.9905,0.323,0.017,0.66,0.9909,,0.9909,0.9909,0.9909,0,1,0,0,0,False,Unknown,Economy Class,639,1
0.0951,0.023,0.0,0.977,0.3757,0.3757,0.3757,,,0,0,0,1,1,False,Unknown,Business Class,306,1
0.9582,0.165,0.044,0.791,0.9545,0.9545,0.9545,0.9545,,0,0,0,0,1,False,Unknown,Business Class,777,1
0.9546,0.252,0.043,0.704,0.9484,0.9484,0.9484,0.9484,,0,0,0,0,1,False,Unknown,Economy Class,411,1
0.8314,0.23,0.117,0.652,,,0.9169,,,1,1,0,1,1,False,Unknown,Economy Class,293,1
0.802,0.132,0.053,0.815,,,0.7859,0.7859,,1,1,0,0,1,False,Unknown,Economy Class,402,1
-0.1154,0.04,0.046,0.914,,-0.0772,-0.0772,-0.0772,,1,0,0,0,1,False,Unknown,Economy Class,344,1
0.4363,0.101,0.056,0.843,0.539,0.539,0.539,0.539,,0,0,0,0,1,False,Unknown,Economy Class,310,1
0.9681,0.253,0.017,0.73,0.9669,0.9669,0.9669,0.9669,,0,0,0,0,1,False,Unknown,Economy Class,458,1
0.6124,0.1,0.033,0.867,0.5729,0.5729,0.5729,,,0,0,0,1,1,False,Unknown,Economy Class,387,0
0.8979,0.199,0.0,0.801,,0.891,0.891,,,1,0,0,1,1,False,Unknown,Economy Class,250,1
0.908,0.145,0.0,0.855,,,0.908,0.908,,1,1,0,0,1,False,Unknown,Business Class,442,1
0.9596,0.333,0.025,0.643,,0.8982,0.8982,0.8982,,1,0,0,0,1,False,Unknown,Business Class,291,1
0.9615,0.232,0.021,0.747,,,0.9468,,,1,1,0,1,1,False,Unknown,Economy Class,364,1
0.6237,0.105,0.048,0.847,,0.9022,0.9022,0.9022,,1,0,0,0,1,False,Unknown,Economy Class,410,0
0.5719,0.084,0.064,0.851,,,0.2023,0.2023,,1,1,0,0,1,False,Unknown,Economy Class,854,0
0.9836,0.187,0.059,0.754,0.9756,0.9756,0.9756,0.9756,,0,0,0,0,1,False,Unknown,Economy Class,1041,1
0.8834,0.222,0.0,0.778,0.91,0.91,0.91,,,0,0,0,1,1,False,Unknown,Economy Class,233,1
0.0149,0.051,0.06,0.889,,,0.743,,,1,1,0,1,1,False,Unknown,Economy Class,634,1
0.9423,0.204,0.073,0.723,0.9702,0.9702,0.9702,0.9702,,0,0,0,0,1,False,Unknown,Unknown,566,0
0.9468,0.196,0.0,0.804,,0.8591,0.8591,0.8591,,1,0,0,0,1,False,Unknown,Unknown,380,0
0.9215,0.191,0.0,0.809,,0.9124,0.9124,,,1,0,0,1,1,False,Unknown,Unknown,402,0
0.6124,0.041,0.0,0.959,0.4588,0.4588,0.4588,0.4588,,0,0,0,0,1,False,Unknown,Unknown,535,0
0.9493,0.33,0.0,0.67,0.942,,0.942,,,0,1,0,1,1,False,Unknown,Unknown,266,0
0.8074,0.135,0.04,0.825,,0.8074,0.8074,,,1,0,0,1,1,False,Unknown,Unknown,430,0
0.9649,0.172,0.034,0.794,0.8186,0.8186,0.8186,0.8186,,0,0,0,0,1,False,Unknown,Unknown,688,0
0.9194,0.181,0.0,0.819,,0.688,0.688,,,1,0,0,1,1,False,Unknown,Unknown,368,0
0.9885,0.273,0.0,0.727,0.9747,0.9747,0.9747,,0.9747,0,0,0,1,0,False,Unknown,Unknown,564,0
0.9366,0.134,0.013,0.853,0.9371,0.9371,0.9371,0.9371,,0,0,0,0,1,False,Unknown,Unknown,574,0
0.9538,0.207,0.084,0.709,0.9256,0.9256,0.9256,,,0,0,0,1,1,False,Unknown,Unknown,497,0
0.9429,0.182,0.073,0.744,0.9154,,0.9154,0.9154,,0,1,0,0,1,False,Unknown,Unknown,657,0
0.9332,0.22,0.0,0.78,,0.8944,0.8944,,,1,0,0,1,1,False,Unknown,Unknown,339,0
