Set,Threshold_used,Test_positive_rate,Predicted_rate_before (t=0.5),Predicted_rate_after,F1_before,F1_after,Accuracy_before,Accuracy_after,Gap_before,Gap_after
A,0.605,0.2349869451697128,0.2543516100957354,0.2454308093994778,0.9044019564250778,0.9130434782608695,0.9532201914708442,0.95822454308094,0.019364664926022623,0.01044386422976501
B,0.594,0.2349869451697128,0.260443864229765,0.24194952132288947,0.8036890645586298,0.8175182481751825,0.9027415143603134,0.9129677980852916,0.025456919060052208,0.006962576153176664
C,0.601,0.2349869451697128,0.27067014795474326,0.23912097476066144,0.7857142857142857,0.79669573198715,0.891644908616188,0.9036118363794604,0.035683202785030455,0.004134029590948635
D,0.598,0.2349869451697128,0.26523063533507396,0.24717145343777197,0.823836450630709,0.8294223826714802,0.9118798955613577,0.9177545691906005,0.03024369016536116,0.012184508268059169
E1,0.417,0.2349869451697128,0.2282419495213229,0.23781549173194083,0.9074682949741663,0.898297284859641,0.9571366405570061,0.9519147084421236,-0.006744995648389901,0.0028285465622280292
E2,0.437,0.2349869451697128,0.22911227154046998,0.23672758920800696,0.8870135958743554,0.8791512915129152,0.9475630983463882,0.942993907745866,-0.0058746736292428214,0.001740644038294159
