Set,LogisticRegression,RandomForest,XGBoost,LightGBM
A,0.9860810613427587,0.9825569812472777,0.982984118545733,0.9854266701581567
B,0.9455424946344659,0.9413200726896622,0.9395821791897551,0.943965139490725
C,0.923921530956927,0.9307108559457749,0.9392929469710227,0.9409529398915445
D,0.9504215447737527,0.9473815799342845,0.9465454645940551,0.9515661042999278
E1,0.9664080069163081,0.9623575715547086,0.9667688234512325,0.9681060290048069
E2,0.9577149865187257,0.959071009273064,0.9623925741799056,0.9654162220061241
