Set,Rank,Feature,Mean_Abs_SHAP
E2,12,cat__Seat Type_Business Class,0.018490102740414883
E2,13,cat__Seat Type_Economy Class,0.009327420409269841
E2,14,cat__Type Of Traveller_Couple Leisure,0.007709925526028679
E2,15,num_binary__absa_staff_e2_missing,0.002391349460247393
E2,16,cat__Type Of Traveller_Business,0.0
E2,17,num_binary__absa_entertainment_e2_missing,0.0
E2,18,num_binary__absa_ground_service_e2_missing,0.0
E2,19,num_binary__absa_food_e2_missing,0.0
E2,20,cat__Seat Type_Premium Economy,0.0
E2,21,cat__Seat Type_First Class,0.0
E2,22,num_binary__absa_seat_e2_missing,0.0
